,AwardType,Name,Project,SubjectArea,Species,Year,Value
1,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2000..FY01.,18346
2,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2000..FY01.,51388
3,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2000..FY01.,60460
4,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2000..FY01.,23133
5,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2000..FY01.,40000
6,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2000..FY01.,17000
7,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2000..FY01.,43526
8,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2000..FY01.,NA
9,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2000..FY01.,NA
10,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2000..FY01.,NA
11,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2000..FY01.,NA
12,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2000..FY01.,NA
13,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2000..FY01.,NA
14,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2000..FY01.,NA
15,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2000..FY01.,NA
16,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2000..FY01.,NA
17,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2000..FY01.,NA
18,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2000..FY01.,NA
19,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2000..FY01.,NA
20,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2000..FY01.,NA
21,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2000..FY01.,NA
22,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2000..FY01.,NA
23,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2000..FY01.,NA
24,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2000..FY01.,NA
25,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2000..FY01.,NA
26,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2000..FY01.,NA
27,ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,X2000..FY01.,NA
28,ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,X2000..FY01.,NA
29,ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,X2000..FY01.,NA
30,ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,X2000..FY01.,NA
31,ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,X2000..FY01.,NA
32,ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,X2000..FY01.,NA
33,ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,X2000..FY01.,NA
34,ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,X2000..FY01.,NA
35,ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,X2000..FY01.,NA
36,ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,X2000..FY01.,NA
37,ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,X2000..FY01.,NA
38,ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,X2000..FY01.,NA
39,ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,X2000..FY01.,NA
40,ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,X2000..FY01.,NA
41,ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,X2000..FY01.,NA
42,ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,X2000..FY01.,NA
43,ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,X2000..FY01.,NA
44,ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,X2000..FY01.,NA
45,ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,X2000..FY01.,NA
46,ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,X2000..FY01.,NA
47,ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,X2000..FY01.,NA
48,ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,X2000..FY01.,NA
49,ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,X2000..FY01.,NA
50,ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,X2000..FY01.,NA
51,ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,X2000..FY01.,NA
52,ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,X2000..FY01.,NA
53,ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,X2000..FY01.,NA
54,ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,X2000..FY01.,NA
55,ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,X2000..FY01.,NA
56,ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,X2000..FY01.,NA
57,ResearchProjects,Fong/Oliveira/Smith,Nutritional value of Alaska pollock  ,Seafood Science,Pollock,X2000..FY01.,NA
58,ResearchProjects,Adkison/Westley,Drivers of AYK Chinook salmon survival,Bycatch Species,Salmon,X2000..FY01.,NA
59,ResearchProjects,Kruse,Decline in Pacific halibut size at age,Bycatch Species,Halibut,X2000..FY01.,NA
60,ResearchProjects,Burns/Testa,Maternal foraging of Northern Fur Seals,Marine mammals,Fur Seals,X2000..FY01.,NA
61,ResearchProjects,Fong/Park,Gel enhancement of Alaska Pollock surimi,Seafood Science,Pollock,X2000..FY01.,NA
62,ResearchProjects,Fong/Sannito,Alternative product forms for Pollock roe,Seafood Science,Pollock,X2000..FY01.,NA
63,ResearchProjects,Rea/Wade,"Behavior of ""resident"" killer whales",Marine mammals,Orca,X2000..FY01.,NA
64,ResearchProjects,Fong et al,Development of value-added market opportunities for pollock co-products (dietary supplements from milt),Seafood Science,Pollock,X2000..FY01.,NA
65,ResearchProjects,Hopcroft,First-year pollock and their zooplankton predators in the northern Gulf of Alaska,Ecosystem,Pollock,X2000..FY01.,NA
66,ResearchProjects,McPhee et al,Improved resolution of chum salmon genetic stock identification,Bycatch Species,Salmon,X2000..FY01.,NA
67,ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,X2000..FY01.,NA
68,Misc,Merritt,Instruction in Fisheries Management,NA,NA,X2000..FY01.,6992
69,Misc,Sugai,NOSB Western Alaska Support,NA,NA,X2000..FY01.,NA
70,Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,X2000..FY01.,NA
71,Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,X2000..FY01.,NA
72,Misc,Cullenberg,Western AK Tech Training,NA,NA,X2000..FY01.,NA
73,Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,X2000..FY01.,NA
74,Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,X2000..FY01.,NA
75,Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,X2000..FY01.,NA
76,Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,X2000..FY01.,NA
77,Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,X2000..FY01.,NA
78,Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,X2000..FY01.,NA
79,Misc,Atkinson,Graduate Student Support,NA,NA,X2000..FY01.,NA
80,Misc,Christie,Wakefield Symposium Support,NA,NA,X2000..FY01.,NA
81,Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,X2000..FY01.,NA
82,Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,X2000..FY01.,NA
83,GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,X2000..FY01.,NA
84,GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,X2000..FY01.,NA
85,GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,X2000..FY01.,NA
86,GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,X2000..FY01.,NA
87,GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,X2000..FY01.,NA
88,GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,X2000..FY01.,NA
89,GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,X2000..FY01.,NA
90,GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,X2000..FY01.,NA
91,GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,X2000..FY01.,NA
92,ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,X2001..FY02.,NA
93,ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,X2001..FY02.,NA
94,ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,X2001..FY02.,NA
95,ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,X2001..FY02.,NA
96,ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,X2001..FY02.,NA
97,ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,X2001..FY02.,17000
98,ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,X2001..FY02.,43526
99,ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,X2001..FY02.,15984
100,ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,X2001..FY02.,36202
101,ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,X2001..FY02.,59296
102,ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,X2001..FY02.,56000
103,ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,X2001..FY02.,27142
104,ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,X2001..FY02.,36000
105,ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,X2001..FY02.,56555
106,ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,X2001..FY02.,61111
107,ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,X2001..FY02.,18544
108,ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,X2001..FY02.,NA
109,ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,X2001..FY02.,NA
110,ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,X2001..FY02.,NA
111,ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,X2001..FY02.,NA
112,ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,X2001..FY02.,NA
113,ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,X2001..FY02.,NA
114,ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,X2001..FY02.,NA
115,ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,X2001..FY02.,NA
116,ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,X2001..FY02.,NA
117,ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,X2001..FY02.,NA
