AwardType,Name,Project,SubjectArea,Species,2000 (FY01),2001 (FY02),2002 (FY03),2003 (FY04),2004 (FY05),2005 (FY06),2006 (FY07),2007 (FY08),2008 (FY09),2009 (FY10),2010 (FY11),2011 (FY12),2012 (FY13),2013 (FY14),2014 (FY15),2015 (FY16),2016 (FY17),2017 (FY18),2018 (FY19),2019 (FY20)
ResearchProjects,Knapp,Markets for Alaska pollock products,Marine Resource Economics,Pollock,18346.00,,,,,,,,,,,,,,,,,,,
ResearchProjects,Atkinson,Metabolic condition in sea lions,Marine mammals,Sea lions,51388.00,,,,,,,,,,,,,,,,,,,
ResearchProjects,Horning,Validation transmitters in sea lion,Marine mammals,Sea lions,60460.00,,,,,,,,,,,,,,,,,,,
ResearchProjects,Musgrave,Hydrographic data collecting,Ocean Science,Food web,23133.00,,,,,,,,,,,,,,,,,,,
ResearchProjects,Goering,Interaction & exam of variability,Ocean Science,Food web,40000.00,,,,,,,,,,,,,,,,,,,
ResearchProjects,Atkinson,Capture & holding-transient sea lions,Marine mammals,Sea lions,17000.00,17000.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Springer,Diet and stress hormones in SSL,Marine mammals,Sea lions,43526.00,43526.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Knapp,Future Russian pollock supply,Marine Resource Economics,Pollock,,15984.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Henrichs,Sinking particles and pelagic webs,Ocean Science,Food web,,36202.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Springer,Distribution of age 2 salmon,Bycatch Species,Salmon,,59296.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Springer,Competition of SSL & comm fisheries,Marine mammals,Sea lions,,56000.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Worthy,Killer whales & the decline of SSL,Marine mammals,Sea lions,,27142.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Jewett,Kvichak bay smolt study,Bycatch Species,Salmon,,36000.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Foy,Quality of species in habitat units,Ecosystem,Food web,,56555.00,,,,,,,,,,,,,,,,,,
ResearchProjects,Gharrett,Chinook salmon bycatch DNA,Bycatch Species,Salmon,,61111.00,61111.00,61111.00,,,,,,,,,,,,,,,,
ResearchProjects,Quinn,Fishing induces declines in pollock,Stock dynamics,Pollock,,18544.00,18544.00,18544.00,18544.00,,,,,,,,,,,,,,,
ResearchProjects,Knapp,Producer cooperative organizations,Marine Resource Economics,Pollock,,,25000.00,,,,,,,,,,,,,,,,,
ResearchProjects,Wynne,Shallow water nearshore fish assembly,Ecosystem,Groundfish,,,6000.00,,,,,,,,,,,,,,,,,
ResearchProjects,Springer,Jellyfish impact on food web,Ecosystem,Food web,,,16350.00,,,,,,,,,,,,,,,,,
ResearchProjects,Kruse,Examination of maturation-pollock,Stock dynamics,Pollock,,,92491.00,,78329.00,,,,,,,,,,,,,,,
ResearchProjects,Norcross,Environmental predictors of pollock,Stock dynamics,Pollock,,,,42837.00,,,,,,,,,,,,,,,,
ResearchProjects,Mellish,Integrating science and tradition,Marine mammals,Sea lions,,,,29400.00,29400.00,,,,,,,,,,,,,,,
ResearchProjects,Foy/Buck,Metabolic perf. of pollock,Stock dynamics,Pollock,,,,,67603.00,,48492.00,,,,,,,,,,,,,
ResearchProjects,Finney,Food web dynamics-Bering Sea,Ecosystem,Food web,,,,,75162.00,,,,,,,,,,,,,,,
ResearchProjects,Gharrett,Develop DNA markers-Chum,Bycatch Species,Salmon,,,,,78230.00,74434.00,67409.00,,,,,,,,,,,,,
ResearchProjects,Trites,Changes in Steller Sea Lion skull ,Marine mammals,Sea lions,,,,,,45850.00,,,,,,,,,,,,,,
ResearchProjects,Kate Wynne,Predation on Northern fur seals in the Pribilof Is.,Marine mammals,Fur Seals,,,,,,66479.00,,,,,,,,,,,,,,
ResearchProjects,Konar,Essential larval/juvenile fish habitat . . . ,Ecosystem,Food web,,,,,,72001.00,55303.00,,,,,,,,,,,,,
ResearchProjects,Quinn,Acoustic data logger,Stock dynamics,Pollock,,,,,,176852.00,,,36931.00,,,,,,,,,,,
ResearchProjects,Mellish,Integration science and tradition,Marine mammals,Sea lions,,,,,,,24867.00,,,,,,,,,,,,,
ResearchProjects,Kruse,Local and traditional knowledge,Marine mammals,Sea lions,,,,,,,90000.00,,,,,,,,,,,,,
ResearchProjects,Springer,Causes of Northern Fur Seal decline,Marine mammals,Fur Seals,,,,,,,53770.00,,,,,,,,,,,,,
ResearchProjects,Gallucci/Foy,Bycatch & sharks in Bering Sea,Bycatch Species,Sharks & Rays,,,,,,,,72378.00,,,,,,,,,,,,
ResearchProjects,Castlinni,Walleye pollock stock distribution and growth.,Stock dynamics,Pollock,,,,,,,,52000.00,,,,,,,,,,,,
ResearchProjects,Gharrett,Combining genetics and population,Bycatch Species,Rockfish,,,,,,,,73888.00,79234.00,81892.00,,,,,,,,,,
ResearchProjects,Johnson,Bering Sea temperatures/walleye,Stock dynamics,Pollock,,,,,,,,,68900.00,, ,,,,,,,,,
ResearchProjects,Oliveira,Purification of pollock oil,Seafood Science,Pollock,,,,,,,,,84266.00,, ,,,,,,,,,
ResearchProjects,Mellish,Assess behavior/physiology,Marine mammals,Sea lions,,,,,,,,,17775.00,,,,,,,,,,,
ResearchProjects,Springer,Fatty acid comp forage species,Ecosystem,Food web,,,,,,,,,51025.00,22064.00, ,,,,,,,,,
ResearchProjects,Atkinson,Maternal investment impact on SSL pup  ,Marine mammals,Sea lions,,,,,,,,, ,66609.00,,,,,,,,,,
ResearchProjects,Mathis,Impacts of ocean acidification,Ocean Science,Food web,,,,,,,,,   ,56793.00, , ,,,,,,,,
ResearchProjects,Hillgruber,Feeding patterns prey selection,Ecosystem,Food web,,,,,,,,, ,56394.00,35644.00,,,,,,,,,
ResearchProjects,Mellish,Consummate & consumed predators,Marine mammals,Sea lions,,,,,,,,, ,5000.00,5000.00,5000.00,,,,,,,,
ResearchProjects,Adkinson,Salmon initiative,Bycatch Species,Salmon,,,,,,,,, ,,226449.00,208967.00,40000.00,,,,,,,
ResearchProjects,Kruse,Walleye pollock-maturity,Stock dynamics,Pollock,,,,,,,,,,,,,74966.00,,,,,,,
ResearchProjects,Quinn,Skates injuries-longline,Bycatch Species,Sharks & Rays,,,,,,,,,,,,,104305.00,,,,,,,
ResearchProjects,Walker,Augmenting SSL projects,Marine mammals,Sea lions,,,,,,,,,,,,,135691.00,,,,,,,
ResearchProjects,Andrews,Behavior of transient killer whales,Marine mammals,Orca,,,,,,,,,,,,, ,53930.00, ,,,,,
ResearchProjects,Oliveira/Crapo,Replacing ethoxyquin in fishmeal,Seafood Science,Pollock,,,,,,,,,,,,,,101793.00,,,,,,
ResearchProjects,Andrews,Vital rates in Russian SSL rookeries,Marine mammals,Sea lions,,,,,,,,,,,,,,91687.00,88396.00,,,,,
ResearchProjects,Knapp,Modeling: fisheries management ,Marine Resource Economics,Groundfish,,,,,,,,,,,,,,286887.00,113112.00, , ,,,
ResearchProjects,Mellish,SSL reproduction & survival ,Marine mammals,Pollock,,,,,,,,,,,,,,144602.00,46163.00,,,,,
ResearchProjects,Quinn,Effect of handling on skates  ,Bycatch Species,Sharks & Rays,,,,,,,,,,,,,,,70598.00,70000.00,,,,
ResearchProjects,Fong/Oliveira,Developing pet treats from pollock skins,Seafood Science,Pollock,,,,,,,,,,,,,,,96757.00,,,,,
ResearchProjects,Beaudreau ,Interactions of groundfish predators,Ecosystem,Groundfish,,,,,,,,,,,,,,,61040.00,,61528.00,46026.00,32922.00,
ResearchProjects,McPhee,Effects of Asian pink and chum salmon  ,Bycatch Species,Salmon,,,,,,,,,,,,,,,62469.00,,62568.00,,,
